Location,Latitude,Longitude,Context,Presence
Walden,41.5612048,-74.1884806,"Thus for sixteen days I saw from my window a hundred men at work like busy husbandmen, with teams and horses and apparently all the implements of farming, such a picture as we see on the first page of the almanac; and as often as I looked out I was reminded of the fable of the lark and the reapers, or the parable of the sower, and the like; and now they are all gone, and in thirty days more, probably, I shall look from the same window on the pure sea-green Walden water there, reflecting the clouds and the trees, and sending up its evaporations in solitude, and no traces will appear that a man has ever stood there.",Physically present
Walden,41.5612048,-74.1884806,The pure Walden water is mingled with the sacred water of the Ganges.,Unclear
Walden,41.5612048,-74.1884806,"

The scenery of Walden is on a humble scale, and, though very beautiful, does not approach to grandeur, nor can it much concern one who has not long frequented it or lived by its shore; yet this pond is so remarkable for its depth and purity as to merit a particular description.",Physically present
Walden,41.5612048,-74.1884806,"Walden is blue at one time and green at another, even from the same point of view.",Unclear
Walden,41.5612048,-74.1884806,How large a body of Walden water would be required to reflect a green tint I have never proved.,Unclear
Walden,41.5612048,-74.1884806,"Flint’s Pond, a mile eastward, allowing for the disturbance occasioned by its inlets and outlets, and the smaller intermediate ponds also, sympathize with Walden, and recently attained their greatest height at the same time with the latter.",Unclear
Walden,41.5612048,-74.1884806,"This rise and fall of Walden at long intervals serves this use at least; the water standing at this great height for a year or more, though it makes it difficult to walk round it, kills the shrubs and trees which have sprung up about its edge since the last rise﻿—pitch pines, birches, alders, aspens, and others﻿—and, falling again, leaves an unobstructed shore; for, unlike many ponds and all waters which are subject to a daily tide, its shore is cleanest when the water is lowest.",Unclear
Walden,41.5612048,-74.1884806,"Moreover, in summer, Walden never becomes so warm as most water which is exposed to the sun, on account of its depth.",Unclear
Walden,41.5612048,-74.1884806,"There have been caught in Walden pickerel, one weighing seven pounds﻿—to say nothing of another which carried off a reel with great velocity, which the fisherman safely set down at eight pounds because he did not see him﻿—perch and pouts, some of each weighing over two pounds, shiners, chivins or roach (Leuciscus pulchellus), a very few breams, and a couple of eels, one weighing four pounds﻿—I am thus particular because the weight of a fish is commonly its only title to fame, and these are the only eels I have heard of here;﻿—also, I have a faint recollection of a little fish some five inches long, with silvery sides and a greenish back, somewhat dace-like in its character, which I mention here chiefly to link my facts to fable.",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"
When I first paddled a boat on Walden, it was completely surrounded by thick and lofty pine and oak woods, and in some of its coves grapevines had run over the trees next the water and formed bowers under which a boat could pass.",Unclear
Walden,41.5612048,-74.1884806,"Now the trunks of trees on the bottom, and the old log canoe, and the dark surrounding woods, are gone, and the villagers, who scarcely know where it lies, instead of going to the pond to bathe or drink, are thinking to bring its water, which should be as sacred as the Ganges at least, to the village in a pipe, to wash their dishes with!﻿—to earn their Walden by the turning of a cock or drawing of a plug!",Unclear
Walden,41.5612048,-74.1884806,"That devilish Iron Horse, whose ear-rending neigh is heard throughout the town, has muddied the Boiling Spring with his foot, and he it is that has browsed off all the woods on Walden shore, that Trojan horse, with a thousand men in his belly, introduced by mercenary Greeks!",Unclear
Walden,41.5612048,-74.1884806,"It struck me again tonight, as if I had not seen it almost daily for more than twenty years﻿—Why, here is Walden, the same woodland lake that I discovered so many years ago; where a forest was cut down last winter another is springing up by its shore as lustily as ever; the same thought is welling up to its surface that was then; it is the same liquid joy and happiness to itself and its Maker, ay, and it may be to me.",Mentally present
Walden,41.5612048,-74.1884806,"It is no dream of mine,

To ornament a line;

I cannot come nearer to God and Heaven

Than I live to Walden even.

",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"Flint’s, or Sandy Pond, in Lincoln, our greatest lake and inland sea, lies about a mile east of Walden.",Unclear
Walden,41.5612048,-74.1884806,"
Since the woodcutters, and the railroad, and I myself have profaned Walden, perhaps the most attractive, if not the most beautiful, of all our lakes, the gem of the woods, is White Pond;﻿—a poor name from its commonness, whether derived from the remarkable purity of its waters or the color of its sands.",Unclear
Walden,41.5612048,-74.1884806,"
White Pond and Walden are great crystals on the surface of the earth, Lakes of Light.",Likely physically present (positive sentiment)
Walden,41.5612048,-74.1884806,"Walden, being like the rest usually bare of snow, or with only shallow and interrupted drifts on it, was my yard where I could walk freely when the snow was nearly two feet deep on a level elsewhere and the villagers were confined to their streets.",Unclear
Walden,41.5612048,-74.1884806,"A hunter told me that he once saw a fox pursued by hounds burst out on to Walden when the ice was covered with shallow puddles, run part way across, and then return to the same shore.",Physically present
Walden,41.5612048,-74.1884806,"One old hunter who has a dry tongue, who used to come to bathe in Walden once every year when the water was warmest, and at such times looked in upon me, told me that many years ago he took his gun one afternoon and went out for a cruise in Walden Wood; and as he walked the Wayland road he heard the cry of hounds approaching, and ere long a fox leaped the wall into the road, and as quick as thought leaped the other wall out of the road, and his swift bullet had not touched him.",Both physically and mentally present
Walden,41.5612048,-74.1884806,"Late in the afternoon, as he was resting in the thick woods south of Walden, he heard the voice of the hounds far over toward Fair Haven still pursuing the fox; and on they came, their hounding cry which made all the woods ring sounding nearer and nearer, now from Well Meadow, now from the Baker Farm.",Unclear
America,39.7837304,-100.445882,I had sat there many times of old before the ship was built that floated his family to America.,Unclear
America,39.7837304,-100.445882,"I tried to help him with my experience, telling him that he was one of my nearest neighbors, and that I too, who came a-fishing here, and looked like a loafer, was getting my living like himself; that I lived in a tight, light, and clean house, which hardly cost more than the annual rent of such a ruin as his commonly amounts to; and how, if he chose, he might in a month or two build himself a palace of his own; that I did not use tea, nor coffee, nor butter, nor milk, nor fresh meat, and so did not have to work to get them; again, as I did not work hard, I did not have to eat hard, and it cost me but a trifle for my food; but as he began with tea, and coffee, and butter, and milk, and beef, he had to work hard to pay for them, and when he had worked hard he had to eat hard again to repair the waste of his system﻿—and so it was as broad as it was long, indeed it was broader than it was long, for he was discontented and wasted his life into the bargain; and yet he had rated it as a gain in coming to America, that here you could get tea, and coffee, and meat every day.",Physically present
America,39.7837304,-100.445882,"But the only true America is that country where you are at liberty to pursue such a mode of life as may enable you to do without these, and where the state does not endeavor to compel you to sustain the slavery and war and other superfluous expenses which directly or indirectly result from the use of such things.",Unclear
America,39.7837304,-100.445882,"And certainly there is not the fight recorded in Concord history, at least, if in the history of America, that will bear a moment’s comparison with this, whether for the numbers engaged in it, or for the patriotism and heroism displayed.",Likely physically present (positive sentiment)
America,39.7837304,-100.445882,"It is a ridiculous demand which England and America make, that you shall speak so that they can understand you.",Unclear
America,39.7837304,-100.445882,"The head monkey at Paris puts on a traveller’s cap, and all the monkeys in America do the same.",Unclear
America,39.7837304,-100.445882,"Leaven, which some deem the soul of bread, the spiritus which fills its cellular tissue, which is religiously preserved like the vestal fire﻿—some precious bottleful, I suppose, first brought over in the Mayflower, did the business for America, and its influence is still rising, swelling, spreading, in cerealian billows over the land﻿—this seed I regularly and faithfully procured from the village, till at length one morning I forgot the rules, and scalded my yeast; by which accident I discovered that even this was not indispensable﻿—for my discoveries were not by the synthetic but analytic process﻿—and I have gladly omitted it since, though most housewives earnestly assured me that safe and wholesome bread without yeast might not be, and elderly people prophesied a speedy decay of the vital forces.",Likely physically present (positive sentiment)
America,39.7837304,-100.445882,"Such apparently slight causes destroyed Greece and Rome, and will destroy England and America.",Unclear
Spain,39.3260685,-4.8379791,"There’s nothing like it in old paintings, nothing like it in foreign lands﻿—unless when we were off the coast of Spain.",Unclear
Spain,39.3260685,-4.8379791,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",Unclear
Spain,39.3260685,-4.8379791,"As for Spain, for instance, if you know how to throw in Don Carlos and the Infanta, and Don Pedro and Seville and Granada, from time to time in the right proportions﻿—they may have changed the names a little since I saw the papers﻿—and serve up a bullfight when other entertainments fail, it will be true to the letter, and give us as good an idea of the exact state or ruin of things in Spain as the most succinct and lucid reports under this head in the newspapers: and as for England, almost the last significant scrap of news from that quarter was the revolution of 1649; and if you have learned the history of her crops for an average year, you never need attend to that thing again, unless your speculations are of a merely pecuniary character.",Physically present
Spain,39.3260685,-4.8379791,"As for Spain, for instance, if you know how to throw in Don Carlos and the Infanta, and Don Pedro and Seville and Granada, from time to time in the right proportions﻿—they may have changed the names a little since I saw the papers﻿—and serve up a bullfight when other entertainments fail, it will be true to the letter, and give us as good an idea of the exact state or ruin of things in Spain as the most succinct and lucid reports under this head in the newspapers: and as for England, almost the last significant scrap of news from that quarter was the revolution of 1649; and if you have learned the history of her crops for an average year, you never need attend to that thing again, unless your speculations are of a merely pecuniary character.",Physically present
Mediterranean,35.0000035,19.9999957,That’s a true Mediterranean sky.,Unclear
Brister’s Hill,42.44652602536891,-71.33549281708,"Commonly I rested an hour or two in the shade at noon, after planting, and ate my lunch, and read a little by a spring which was the source of a swamp and of a brook, oozing from under Brister’s Hill, half a mile from my field.",Unclear
Brister’s Hill,42.44652602536891,-71.33549281708,"Where now firm open fields stretch from the village to the woods, it then ran through a maple swamp on a foundation of logs, the remnants of which, doubtless, still underlie the present dusty highway, from the Stratton, now the Alms-House Farm, to Brister’s Hill.",Unclear
Brister’s Hill,42.44652602536891,-71.33549281708,"One old frequenter of these woods remembers, that as he passed her house one noon he heard her muttering to herself over her gurgling pot﻿—“Ye are all bones, bones!” I have seen bricks amid the oak copse there.
Down the road, on the right hand, on Brister’s Hill, lived Brister Freeman, “a handy Negro,” slave of Squire Cummings once﻿—there where grow still the apple trees which Brister planted and tended; large old trees now, but their fruit still wild and ciderish to my taste.",Both physically and mentally present
Brister’s Hill,42.44652602536891,-71.33549281708,"
Farther down the hill, on the left, on the old road in the woods, are marks of some homestead of the Stratton family; whose orchard once covered all the slope of Brister’s Hill, but was long since killed out by pitch pines, excepting a few stumps, whose old roots furnish still the wild stocks of many a thrifty village tree.",Unclear
Brister’s Hill,42.44652602536891,-71.33549281708,"He died in the road at the foot of Brister’s Hill shortly after I came to the woods, so that I have not remembered him as a neighbor.",Mentally present
Brister’s Hill,42.44652602536891,-71.33549281708,Nor was it much better by the carriage road from Brister’s Hill.,Unclear
Bunker Hill,38.8758445,-98.7039655,"I have no doubt that it was a principle they fought for, as much as our ancestors, and not to avoid a threepenny tax on their tea; and the results of this battle will be as important and memorable to those whom it concerns as those of the battle of Bunker Hill, at least.",Unclear
Sweden,59.6749712,14.5208584,This event happened previous to the expulsion of the tyrant Christiern the Second from Sweden.,Unclear
Lincoln,40.8088861,-96.7077751,"A few years before I lived in the woods there was what was called a “winged cat” in one of the farmhouses in Lincoln nearest the pond, Mr. Gilian Baker’s.",Physically present
Lincoln,40.8088861,-96.7077751,"In some places, within my own remembrance, the pines would scrape both sides of a chaise at once, and women and children who were compelled to go this way to Lincoln alone and on foot did it with fear, and often ran a good part of the distance.",Unclear
Lincoln,40.8088861,-96.7077751,But to return toward Lincoln.,Unclear
Lincoln,40.8088861,-96.7077751,"A very agricola laboriosus was I to travellers bound westward through Lincoln and Wayland to nobody knows where; they sitting at their ease in gigs, with elbows on knees, and reins loosely hanging in festoons; I the home-staying, laborious native of the soil.",Unclear
Lincoln,40.8088861,-96.7077751,"Flint’s, or Sandy Pond, in Lincoln, our greatest lake and inland sea, lies about a mile east of Walden.",Unclear
Lincoln,40.8088861,-96.7077751,"I was seated by the shore of a small pond, about a mile and a half south of the village of Concord and somewhat higher than it, in the midst of an extensive wood between that town and Lincoln, and about two miles south of that our only field known to fame, Concord Battle Ground; but I was so low in the woods that the opposite shore, half a mile off, like the rest, covered with wood, was my most distant horizon.",Unclear
Lincoln,40.8088861,-96.7077751,"The Lincoln hills rose up around me at the extremity of a snowy plain, in which I did not remember to have stood before; and the fishermen, at an indeterminable distance over the ice, moving slowly about with their wolfish dogs, passed for sealers, or Eskimo, or in misty weather loomed like fabulous creatures, and I did not know whether they were giants or pygmies.",Likely physically present (positive sentiment)
Lincoln,40.8088861,-96.7077751,"I took this course when I went to lecture in Lincoln in the evening, travelling in no road and passing no house between my own hut and the lecture room.",Unclear
Milldam,57.583831399999994,-4.476251909620288,"At rumor of his arrival all the Milldam sportsmen are on the alert, in gigs and on foot, two by two and three by three, with patent rifles and conical balls and spyglasses.",Unclear
New York,40.7127281,-74.0060152,"It is said that loons have been caught in the New York lakes eighty feet beneath the surface, with hooks set for trout﻿—though Walden is deeper than that.",Unclear
New York,40.7127281,-74.0060152,"They are but improved means to an unimproved end, an end which it was already but too easy to arrive at; as railroads lead to Boston or New York.",Likely physically present (positive sentiment)
New York,40.7127281,-74.0060152,"There, too, I admired, though I did not gather, the cranberries, small waxen gems, pendants of the meadow grass, pearly and red, which the farmer plucks with an ugly rake, leaving the smooth meadow in a snarl, heedlessly measuring them by the bushel and the dollar only, and sells the spoils of the meads to Boston and New York; destined to be jammed, to satisfy the tastes of lovers of Nature there.",Likely physically present (positive sentiment)
New York,40.7127281,-74.0060152,"Michaux, more than thirty years ago, says that the price of wood for fuel in New York and Philadelphia “nearly equals, and sometimes exceeds, that of the best wood in Paris, though this immense capital annually requires more than three hundred thousand cords, and is surrounded to the distance of three hundred miles by cultivated plains.”",Likely physically present (positive sentiment)
New York,40.7127281,-74.0060152,"Those summer days which some of my contemporaries devoted to the fine arts in Boston or Rome, and others to contemplation in India, and others to trade in London or New York, I thus, with the other farmers of New England, devoted to husbandry.",Likely physically present (positive sentiment)
New York,40.7127281,-74.0060152,"Let us settle ourselves, and work and wedge our feet downward through the mud and slush of opinion, and prejudice, and tradition, and delusion, and appearance, that alluvion which covers the globe, through Paris and London, through New York and Boston and Concord, through Church and State, through poetry and philosophy and religion, till we come to a hard bottom and rocks in place, which we can call reality, and say, This is, and no mistake; and then begin, having a point d’appui, below freshet and frost and fire, a place where you might found a wall or a state, or set a lamppost safely, or perhaps a gauge, not a Nilometer, but a Realometer, that future ages might know how deep a freshet of shams and appearances had gathered from time to time.",Unclear
Louisiana,30.8703881,-92.007126,"For hours, in fall days, I watched the ducks cunningly tack and veer and hold the middle of the pond, far from the sportsman; tricks which they will have less need to practise in Louisiana bayous.",Unclear
New England,44.2057083,-70.75378387447887,"The buckeye does not grow in New England, and the mockingbird is rarely heard here.",Unclear
New England,44.2057083,-70.75378387447887,"Everyone has heard the story which has gone the rounds of New England, of a strong and beautiful bug which came out of the dry leaf of an old table of apple-tree wood, which had stood in a farmer’s kitchen for sixty years, first in Connecticut, and afterward in Massachusetts﻿—from an egg deposited in the living tree many years earlier still, as appeared by counting the annual layers beyond it; which was heard gnawing out for several weeks, hatched perchance by the heat of an urn.",Likely physically present (positive sentiment)
New England,44.2057083,-70.75378387447887,"I would fain say something, not so much concerning the Chinese and Sandwich Islanders as you who read these pages, who are said to live in New England; something about your condition, especially your outward condition or circumstances in this world, in this town, what it is, whether it is necessary that it be as bad as it is, whether it cannot be improved as well as not.",Unclear
New England,44.2057083,-70.75378387447887,"Yet some, not wise, go to the other side of the globe, to barbarous and unhealthy regions, and devote themselves to trade for ten or twenty years, in order that they may live﻿—that is, keep comfortably warm﻿—and die in New England at last.",Unclear
New England,44.2057083,-70.75378387447887,"Even in our democratic New England towns the accidental possession of wealth, and its manifestation in dress and equipage alone, obtain for the possessor almost universal respect.",Likely physically present (positive sentiment)
New England,44.2057083,-70.75378387447887,"The secretary of the Province of New Netherland, writing in Dutch, in 1650, for the information of those who wished to take up land there, states more particularly that “those in New Netherland, and especially in New England, who have no means to build farmhouses at first according to their wishes, dig a square pit in the ground, cellar fashion, six or seven feet deep, as long and as broad as they think proper, case the earth inside with wood all round the wall, and line the wood with the bark of trees or something else to prevent the caving in of the earth; floor this cellar with plank, and wainscot it overhead for a ceiling, raise a roof of spars clear up, and cover the spars with bark or green sods, so that they can live dry and warm in these houses with their entire families for two, three, and four years, it being understood that partitions are run through those cellars which are adapted to the size of the family.",Unclear
New England,44.2057083,-70.75378387447887,"The wealthy and principal men in New England, in the beginning of the colonies, commenced their first dwelling-houses in this fashion for two reasons: firstly, in order not to waste time in building, and not to want food the next season; secondly, in order not to discourage poor laboring people whom they brought over in numbers from Fatherland.",Likely physically present (positive sentiment)
New England,44.2057083,-70.75378387447887,"Nearer yet to town, you come to Breed’s location, on the other side of the way, just on the edge of the wood; ground famous for the pranks of a demon not distinctly named in old mythology, who has acted a prominent and astounding part in our New England life, and deserves, as much as any mythological character, to have his biography written one day; who first comes in the guise of a friend or hired man, and then robs and murders the whole family﻿—New-England Rum.",Unclear
New England,44.2057083,-70.75378387447887,"Almost every New England boy among my contemporaries shouldered a fowling-piece between the ages of ten and fourteen; and his hunting and fishing grounds were not limited, like the preserves of an English nobleman, but were more boundless even than those of a savage.",Unclear
New England,44.2057083,-70.75378387447887,"If we will read newspapers, why not skip the gossip of Boston and take the best newspaper in the world at once?﻿—not be sucking the pap of “neutral family” papers, or browsing “Olive Branches” here in New England.",Likely physically present (positive sentiment)
New England,44.2057083,-70.75378387447887,"New England can hire all the wise men in the world to come and teach her, and board them round the while, and not be provincial at all.",Unclear
New England,44.2057083,-70.75378387447887,It is as much Asia or Africa as New England.,Unclear
New England,44.2057083,-70.75378387447887,"On this morning of the Great Snow, perchance, which is still raging and chilling men’s blood, I bear the muffled tone of their engine bell from out the fog bank of their chilled breath, which announces that the cars are coming, without long delay, notwithstanding the veto of a New England northeast snowstorm, and I behold the plowmen covered with snow and rime, their heads peering, above the mould-board which is turning down other than daisies and the nests of field mice, like boulders of the Sierra Nevada, that occupy an outside place in the universe.",Likely physically present (positive sentiment)
New England,44.2057083,-70.75378387447887,"I feel more like a citizen of the world at the sight of the palm-leaf which will cover so many flaxen New England heads the next summer, the Manilla hemp and coconut husks, the old junk, gunny bags, scrap iron, and rusty nails.",Unclear
New England,44.2057083,-70.75378387447887,"This closed car smells of salt fish, the strong New England and commercial scent, reminding me of the Grand Banks and the fisheries.",Likely physically present (positive sentiment)
New England,44.2057083,-70.75378387447887,"Those summer days which some of my contemporaries devoted to the fine arts in Boston or Rome, and others to contemplation in India, and others to trade in London or New York, I thus, with the other farmers of New England, devoted to husbandry.",Likely physically present (positive sentiment)
New England,44.2057083,-70.75378387447887,I perceive that we inhabitants of New England live this mean life that we do because our vision does not penetrate the surface of things.,Unclear
Canada,61.0666922,-107.991707,"The wild goose is more of a cosmopolite than we; he breaks his fast in Canada, takes a luncheon in the Ohio, and plumes himself for the night in a southern bayou.",Unclear
