Location,Latitude,Longitude,Context
Seeley,32.787857200000005,-115.68139681447164,"ed treacherously by a young Patrick that neighbor Seeley, an Irishman, in the intervals of the carting, tr"
Troy,42.7284117,-73.6917878,"ificant event one with the removal of the gods of Troy.
I dug my cellar in the side of a hill sloping to"
Iliad,31.2955678,77.1369731,"ainment, in fact answered the same purpose as the Iliad.

It would be worth the while to build still more"
Maine,45.709097,-68.8590201,"reat haste to construct a magnetic telegraph from Maine to Texas; but Maine and Texas, it may be, have no"
Fitchburg,42.5854371,-71.8046023,love to travel; you might take the cars and go to Fitchburg today and see the country.” But I am wiser than t
Arcadia,34.1362075,-118.0401497," To what end, pray, is so much stone hammered? In Arcadia, when I was there, I did not see any hammering st"
Sugar,-4.8780841,145.7972206," more than Indian meal, both money and trouble.


Sugar
0.80



Lard
0.65



Apples
0.25



Dried apple
0"
Tartar,40.348041050000006,46.97464505584509,"ed my bean-field﻿—effect his transmigration, as a Tartar would say﻿—and devour him, partly for experiment’"
Farinam,,,
indito,52.2423187,6.1817163,"us mortariumque bene lavato. Farinam in mortarium indito, aquae paulatim addito, subigitoque pulchre. Ubi "
Newfoundland,49.12119115,-56.64032459262498, if I should ever fall into one. I can find you a Newfoundland dog that will do as much. Philanthropy is not lov
Bacon,31.5555512,-82.4442559,"c, literary, and political worthies, Shakespeare, Bacon, Cromwell, Milton, Newton, and others, speak next"
Milton,42.2501425,-71.065573,"political worthies, Shakespeare, Bacon, Cromwell, Milton, Newton, and others, speak next of her Christian "
Newton,30.8118989,-93.740504,"l worthies, Shakespeare, Bacon, Cromwell, Milton, Newton, and others, speak next of her Christian heroes, "
Eskimo,-22.8813892,-43.0892221,"traightway his drastic philanthropy seeks out the Eskimo and the Patagonian, and embraces the populous Ind"
Gulistan,37.1984436,55.070672,"e one of the worthies of the world.
I read in the Gulistan, or Flower Garden, of Sheik Sadi of Shiraz, that "
Bagdad,33.3061701,44.3872213," Dijlah, or Tigris, will continue to flow through Bagdad after the race of caliphs is extinct: if thy hand"
benumbeth,,,
Theseus,52.3952433,13.0612823,"

But patterns only, such as Hercules,

Achilles, Theseus. Back to thy loath’d cell;

And when thou seest t"
thou,47.5790082,2.9076132,"les, Theseus. Back to thy loath’d cell;

And when thou seest the new enlightened sphere,

Study to know "
Nervii,,,
Scripture,48.487859650000004,-91.57202882167748,"him. I had read of the potter’s clay and wheel in Scripture, but it had never occurred to me that the pots we"
Sutton,30.51216325,-100.53841807826248,"r like that early settler’s family in the town of Sutton, in this State, whose cottage was completely cove"
Strix,59.3317695,18.0445418,ternoon I amused myself by watching a barred owl (Strix nebulosa) sitting on one of the lower dead limbs 
world﻿—he,35.0042743,135.7702796," of the philosophers﻿—Connecticut gave him to the world﻿—he peddled first her wares, afterwards, as he declar"
Missouri,38.7604815,-92.5617875," is naturally a hunter, on the head waters of the Missouri and Columbia a trapper, and at the Falls of St. M"
Kirby,29.4613454,-98.3857901,"icant fact, stated by entomologists﻿—I find it in Kirby and Spence﻿—that “some insects in their perfect s"
Greece,38.9953683,21.9877132,"xicating. Such apparently slight causes destroyed Greece and Rome, and will destroy England and America. O"
us,39.7837304,-100.445882,"ss of our lives.
We are conscious of an animal in us, which awakens in proportion as our higher nature"
Apios,45.8981483,15.8568777,"ne day for fishworms, I discovered the groundnut (Apios tuberosa) on its string, the potato of the aborig"
Mesopotamia,34.90348665,42.05888055600657, an old wiseacre of them. Many of the villages of Mesopotamia are built of secondhand bricks of a very good qua
oleariam,,,
Mexico,19.4326296,-99.1331785,"g low over the woods toward Fair Haven, bound for Mexico. Several times, when returning from the village a"
Flint,43.0161693,-83.6900211," first time on the night of the 22nd of December, Flint’s and other shallower ponds and the river having "
Philadelphia,39.9527237,-75.1635262,"s that the price of wood for fuel in New York and Philadelphia “nearly equals, and sometimes exceeds, that of th"
Thou,47.5790082,2.9076132,"
Why art thou banished from our hearth and hall,

Thou who art welcomed and beloved by all?

Was thy exi"
Zendavestas,,,
Bibles,15.8050853,78.04401158018945,"ns shall be filled with Vedas and Zendavestas and Bibles, with Homers and Dantes and Shakespeares, and all"
Zebulon,33.1023454,-84.3426997,"read it. They read the nine thousandth tale about Zebulon and Sophronia, and how they loved as none had eve"
Sophronia,27.28336496276285,-80.43902816778933,"y read the nine thousandth tale about Zebulon and Sophronia, and how they loved as none had ever loved before"
Plato,44.7744064,-94.0399721,re hardly known here. Or shall I hear the name of Plato and never read his book? As if Plato were my town
Zoroaster,40.117194,-85.5972923,"eness by his faith, may think it is not true; but Zoroaster, thousands of years ago, travelled the same road "
Nature,22.309171550000002,73.25776805856944,"ery pore. I go and come with a strange liberty in Nature, a part of herself. As I walk along the stony sho"
Toscar,42.4099476,0.350978,"in the land of the living,

Beautiful daughter of Toscar.”


Some of my pleasantest hours were during the "
Hebe,40.6614738,-76.7346888,"which the serpent sometimes drinks; but rather of Hebe, cupbearer to Jupiter, who was the daughter of Ju"
motion﻿—or,45.39082455062883,-122.01375686993366," with its train of cars moving off with planetary motion﻿—or, rather, like a comet, for the beholder knows not"
golden,39.7546349,-105.22058,"its steam cloud like a banner streaming behind in golden and silver wreaths, like many a downy cloud which"
Tell,46.172675,10.0641264,er for it. We are all educated thus to be sons of Tell. The air is full of invisible bolts. Every path b
Long Wharf,41.2946099,-72.9223227," which go dispensing their odors all the way from Long Wharf to Lake Champlain, reminding me of foreign parts,"
Milwaukee,43.0386475,-87.9090751,"which are now no longer cried up, unless it be in Milwaukee, as those splendid articles, English, French, or "
Cuttingsville,43.4885205,-72.8816138," of molasses or of brandy directed to John Smith, Cuttingsville, Vermont, some trader among the Green Mountains, "
Vermont,44.5990718,-72.5002608," of brandy directed to John Smith, Cuttingsville, Vermont, some trader among the Green Mountains, who impor"
Acton,51.5081402,-0.2732607,"imes, on Sundays, I heard the bells, the Lincoln, Acton, Bedford, or Concord bell, when the wind was favo"
Bedford,40.0271453,-78.5237447,"n Sundays, I heard the bells, the Lincoln, Acton, Bedford, or Concord bell, when the wind was favorable, a "
Sudbury,46.49272,-80.991211,"ver, and he dropped down without obstruction from Sudbury, where he lived, to Fair Haven Pond, which he fou"
Umbilicaria,,,
crag;﻿—or,44.72869727994988,-121.88671681669176,"t by an egg hatched some time in the crevice of a crag;﻿—or was its native nest made in the angle of a cloud,"
Sacontala,,,
Wayland,42.3632063,-71.3606721, to travellers bound westward through Lincoln and Wayland to nobody knows where; they sitting at their ease
Egypt,26.2540493,29.2675469,"ous and outlandish spotted salamander, a trace of Egypt and the Nile, yet our contemporary. When I paused"
Palestine,31.7621153,-95.6307891,"upon. These martial strains seemed as far away as Palestine, and reminded me of a march of crusaders in the h"
King Saturn,47.6505327,-122.35152456194463,"ife, and that they alone were left of the race of King Saturn.”
We are wont to forget that the sun looks on our"
Arabia,22.3742506,49.477089111818884,"ign to the streets, even to the woods, foreign as Arabia to our Concord life. They possess a quite dazzlin"
Waldens,51.4106999,-0.2923127,"en all over and all through; are themselves small Waldens in the animal kingdom, Waldenses. It is surprisin"
Scotland,56.7861112,-4.1140518,"so correct, standing at the head of Loch Fyne, in Scotland, which he describes as “a bay of salt water, sixt"
Iceland,64.9841821,-18.1059013,"some other kind of grain recently introduced from Iceland. As I saw no manure, I judged that they meant to "
Charleston,32.7884363,-79.9399309,"hus it appears that the sweltering inhabitants of Charleston and New Orleans, of Madras and Bombay and Calcutt"
New Orleans,29.9759983,-90.0782127,"that the sweltering inhabitants of Charleston and New Orleans, of Madras and Bombay and Calcutta, drink at my w"
Bombay,19.054999,72.8692035,"ants of Charleston and New Orleans, of Madras and Bombay and Calcutta, drink at my well. In the morning I "
Pond,35.7177326,-119.3287234,"t suppose that it was called originally Walled-in Pond.
The pond was my well ready dug. For four months "
The United States,47.828787466909134,-122.59894783123687,e of copyright restrictions in the United States. The United States public domain represents our collective cultural 
Tremont,44.40991,0.89877,"sed when the herald blows his summons before some Tremont or Astor or Middlesex House, to see come creeping"
Massasoit,42.239538,-71.782293,"than of our journey.” At one o’clock the next day Massasoit “brought two fishes that he had shot,” about thri"
Paphlagonian,,,
Homer,59.6454064,-151.5445643,"chuck which his dog caught. He, too, has heard of Homer, and, “if it were not for books,” would “not know"
States,,,
humble﻿—if,,,
hers?﻿—young,,,
green hills,40.1136831,-80.2997849,"none. That way I looked between and over the near green hills to some distant and higher ones in the horizon, t"
Tartary,44.803584900000004,4.615097228548244,"oward the prairies of the West and the steppes of Tartary, affording ample room for all the roving families"
Damodara,26.9051941,70.7192838,"but beings who enjoy freely a vast horizon”﻿—said Damodara, when his herds required new and larger pastures."
Odyssey,38.7453944,-76.6294061,"fame. It was Homer’s requiem; itself an Iliad and Odyssey in the air, singing its own wrath and wanderings."
Infanta,14.7469297,121.6495987,"e, if you know how to throw in Don Carlos and the Infanta, and Don Pedro and Seville and Granada, from time"
Granada,37.1734995,-3.5995337,"os and the Infanta, and Don Pedro and Seville and Granada, from time to time in the right proportions﻿—they"
Khoung,17.6431777,104.8138939,reat dignitary of the state of Wei) sent a man to Khoung-tseu to know his news. Khoung-tseu caused the mes
hoorer,,,
Lexington,38.0464066,-84.4970393, else for this. One day a man came to my hut from Lexington to inquire after his hound that made a large trac
Weston,51.3471927,-2.9778916,h turned off into the woods again. That evening a Weston squire came to the Concord hunter’s cottage to in
Lepus,46.4762447,22.7579046,"n was its slenderness. Such then was its nature. (Lepus, levipes, light-foot, some think.)
What is a coun"
