Location,Latitude,Longitude,Context
Phaedra,33.516260672740124,-117.6982343601137," more offs. I had been in a few plays in college, Phaedra in Euripides’ Hippolytus, and Madame Dubonnet in "
Tinkerbelle,52.46665175,1.7439977330277923,ging his new friends. Among them was a girl named Tinkerbelle. She lived along Twenty-third Street at the Londo
Superstar,50.36632276701222,-119.0419421680373,"ternational Velvet, was being groomed as the next Superstar, succeeding Edie Sedgwick. David had an intense a"
Dakota,44.666655,-93.044911,"the city. Robert insisted that I go to one at the Dakota, at the apartment of Charles Henri Ford, who edit"
Breton,53.1107791,-114.4714876,"er by Gertrude Stein and attended by the likes of Breton, Man Ray, and Djuna Barnes.At one point in the ev"
Wollensak,47.7811997,9.6134538,"tape, but was having trouble with his recorder, a Wollensak reel-to-reel. “This tape is more tangled than you"
n’t,37.9456724,23.7139908, your own pictures. They’d be better anyway.”“I don’t know. I guess it’s a possibility.”A few days late
Nash,35.992983,-77.9755309,"ok me to the Fillmore East to see Crosby, Stills, Nash, and Young. It was really not my kind of band, bu"
Ohio,40.2253569,-82.6881395,"ut I was moved to see Neil Young, since his song “Ohio” had made a great impression on me. It seemed to "
Cambridge,52.2055314,0.1186637,"eguiled by Edie Sedgwick, who was studying art in Cambridge, and followed her to New York City, giving up eve"
Island,64.9841821,-18.1059013,"a. He asked me to read for a role in his new play Island. I was a little skeptical, but as he handed me th"
Blaise,48.2820022,4.9696397,"ormality of French prose poetry to the bravado of Blaise Cendrars, Mayakovsky, and Gregory Corso. Through "
magenta,49.0515653,3.965783,"d to recording, and came into town resplendent in magenta, pink, and purple feather boas. She wore them eve"
Hong Fat,20.5764562,-103.4431539,"watch him interact with strangers. We would go to Hong Fat because it was cheap and the dumplings were good,"
Kwell,-33.3937947324996,115.61960994913757,om the other as we underwent a tedious regimen of Kwell lice shampooing in any one of the unmanned Chelse
Woodstock,42.0410578,-74.1182492, of amassing musicians from all over the world in Woodstock and they would sit in a field in a circle and pla
Los Angeles,39.7837304,-100.445882," an overdose in room 105 of the Landmark Hotel in Los Angeles, twenty-seven years old.Johnny plunged. Brian Jon"
Brussels,50.8465573,4.351697,to Baudelaire when he trudged through a winter in Brussels sick and alone.I was a bit more resourceful than 
Brigid Berlin,,,
St. Mark’s Church,53.97394385,-2.737755118017627," first time an electric guitar had been played in St. Mark’s Church, provoking cheers and jeers. As this was hallowed"
Cavale,43.8611186,1.1878184,"’re on, Patti Lee.”I decided to call my character Cavale. I got it from a French-Algerian writer named Alb"
Mexico,19.4326296,-99.1331785,"m left. And when Steve Paul offered to take me to Mexico with some other musicians to write songs, Robert "
Acapulco,16.8680495,-99.8940182,t I loved: coffee and Diego Rivera. We arrived in Acapulco in mid-June and stayed in a sprawling villa overl
New York’s,40.7489457,-73.96808424536403,"ried to Maxime de la Falaise, a leading figure in New York’s high society. John and Maxime provided Robert wit"
Prince Egon von Fürstenberg,,,
Georgia,32.3293809,-83.1137366," public, including Stieglitz’s exquisite nudes of Georgia O’Keeffe. Taken at the height of their relationsh"
St. Cecilia,53.18656235,-0.766269786703021,"ire of references from Pythagorean mathematics to St. Cecilia, the patron saint of music. His opinions were bac"
Tennessee,35.7730076,-86.2820081,"e Civil War poet Sidney Lanier and the playwright Tennessee Lanier Williams. He was soft-spoken, encouraging,"
Omaha Beach,43.3955188,-95.1530516,"n the Navy who took part in the D-Day invasion on Omaha Beach, and had served as curator at the Wadsworth Athen"
Nicaragua,12.6090157,-85.2936911,d perished while on a humanitarian mission to aid Nicaragua in the aftermath of a terrible earthquake. I chid
Hermes,49.3571636,2.2461658,"the shop’s motto, Wise men fish here.I dragged my Hermes 2000 from under the bed. (My Remington had bit th"
Strand,59.02031475,6.015425784935906,"llen paid our rent and I made pocket money at the Strand. Sam and Robert took me to eat every afternoon, a"
Harar,9.3118397,42.1284445,"ng in the language of science. In the hellhole of Harar, he manned the coffee fields and scaled the high "
Ethiopia,10.2116702,38.6521203,p.I awoke with a sudden revelation. I would go to Ethiopia and find this valise that seemed more like a sign
Canal,40.4386349,-3.704264," filmmaker Jack Smith’s loft at Greene Street and Canal. It was my own bill, and anyone who was there had"
Tibetan,31.8280766,87.4064278,mbed my hair away from my face and wrapped an old Tibetan robe made of tea-colored linen around me. Robert 
Charleville,48.813549,3.6664318,", I thought I could at least make a pilgrimage to Charleville, France, where Rimbaud was born and buried. Unabl"
Milan,45.4641943,9.1896346," cat’s-eyes, nestled in a gray tweed case stamped Milan.On the Bowery I found an unconstructed raincoat o"
Raspail,48.8389219,2.3307369,"lked, as we had walked, up and down the boulevard Raspail. I located our street where we resided at 9 rue C"
Breathless,53.45633796985116,-113.62348389453098,e and where Jean-Luc Godard shot precious bits of Breathless. I walked another block to the Montparnasse cemet
Brancusi,53.9567664,-1.0897727,"the Montparnasse cemetery and paid my respects to Brancusi and Baudelaire.Guided by Enid Starkie, Rimbaud’s "
St. Rimbaud,44.0327092,5.7871915," sat on the floor and made a small pencil drawing—St. Rimbaud, Charleville, Octobre 1973.I wanted a souvenir, a"
poets?”I,39.65405165,66.97327357599237, in English: “American! Why do you not honor your poets?”I was very tired. I was twenty-six years old. All a
Ophelia,37.9101284,-76.2835554," of earth above Jim Morrison floated like bits of Ophelia’s bouquet.“Ehh!” she cried again. “Answer me, Amé"
Cairo,30.0443879,31.2357257,"d the Koran of Muhammad. I read Nerval’s Women of Cairo, and the stories of Bowles, Mrabet, Albert Cosser"
Bowles,36.609505,-119.75259045583402," read Nerval’s Women of Cairo, and the stories of Bowles, Mrabet, Albert Cossery, and Isabelle Eberhardt. "
Mrabet,35.7209847,-5.813316,"rval’s Women of Cairo, and the stories of Bowles, Mrabet, Albert Cossery, and Isabelle Eberhardt. Since ha"
Tadzio,48.5833821,7.752152,ng. His presence brought to mind the character of Tadzio in Death in Venice.“Whaddya want?” he asked casua
Death,36.42287215,-116.91371800979377,"esence brought to mind the character of Tadzio in Death in Venice.“Whaddya want?” he asked casually, and "
Venice,45.4371908,12.3345898,"ought to mind the character of Tadzio in Death in Venice.“Whaddya want?” he asked casually, and proceeded "
Delaware,38.6920451,-75.4013315," the woods of New Jersey, the deserted beaches of Delaware, and flying saucers hovering in the western skies"
Ziegfeld,40.7630368,-73.9798333,se of “Marquee Moon.”It was a world away from the Ziegfeld. The absence of glamour made it seem all the more
Lindbergh,33.8211152,-84.3674117,tory partially due to my mother’s fixation on the Lindbergh kidnapping and consequent fear of her children be
Berkeley,37.8708393,-122.272863,"o. We played upstairs at Rather Ripped Records in Berkeley, and at an audition night at the Fillmore West wi"
Prague,50.0596288,14.446459273258009,"ed the blues. He had been an emerging pop star in Prague, but his dreams were shattered when his home coun"
Russia,64.6863136,97.7453061,"re shattered when his home country was invaded by Russia in 1968. Escaping with his family, he was obliged"
Danelectro,,,
Santa Barbara,34.4221319,-119.702667,"o system. He had originally come to New York from Santa Barbara with Lance Loud’s Mumps. Hardworking, somewhat sh"
Hendrix,33.7746079,-96.4063734,"“Land,” wild-boy imagery fused with the stages of Hendrix’s death. In “Elegie,” remembering them all, past,"
Chicago,41.8755616,-87.6244212,"worried so much that when I had three days off in Chicago, I went to an art supply store and bought several"
Pocahontas,42.7262681,-94.6477383,"bit flushed. He pulled my long braids, calling me Pocahontas. The energy between us was so intense that it see"
Michigan,43.6211955,-84.6824346,"us.” As I resumed the pattern of my daily life in Michigan, I found myself yearning for Robert’s presence; I"
Japan,36.5748441,139.2394179,"ke it. Ever the collector, he wished to return to Japan, where he and Robert had traveled, as there was a"
swan,41.4652721,-93.3112552,"f the performance I held the image of a trumpeter swan, the swan of my childhood.I slipped outside into "
Jackson,32.2998686,-90.1830408," that’s all he ever needed. Animated portraits of Jackson, Fred, and me together, the four of us, and then,"
Cortés,15.47840725,-88.03438575252127,"tring of words more precious than the emeralds of Cortés. Yet I have a lock of his hair, a handful of his "
the French Republic,46.9144551,3.0927877,"ettres, the highest honor awarded to an artist by the French Republic. She was inducted into the Rock and Roll Hall of "
New Zealand,-41.5000831,172.8344077,"llinsebooks.caNew ZealandHarperCollinsPublishers (New Zealand) LimitedP.O. Box 1Auckland, New Zealandhttp://www"
StreetNew York,,,
